Slot,"เวลา
เริ่มต้น","เวลา
สิ้นสุด","ระยะเวลา
(นาที)","ฝ่ายรับ
ผิดชอบ",กิจกรรม,สถานที่,ผู้ตัดสินใจสูงสุด,ผู้รับผิดชอบ ,รายละเอียด
89,09:15,09:15,-,PLAN,stand by น้องสายหอประชุมตึก 3 รอบ 2,"หอประชุมตึก 3 ประตูฝั่งป้ายคณะ
หอประชุมตึก 3 ประตูฝั่งตึก 2
หอประชุมตึก 3 ชั้น 2",ออง 0968388878,"พี่สาย
หอประชุมตึก 3 ฝั่งป้ายคณะ - ลูกพลับ 0948198008
หอประชุมตึก 3 ฝั่งตึก 2 - โอ๊ค 0902156600
หอประชุมตึก 3 ชั้น 2 - เฟิร์ส 0856638891",-เมื่อพี่สาย standby ที่หน้าประตูหอประชุมของตนเองแล้ว ให้พี่สายไลน์แจ้งในกลุ่ม แผนกลาง ว่า “ น้องสายxx พร้อม ”
90,09:15,09:15,-,PLAN,แจ้งความพร้อมหอประชุมตึก 3 รอบ 2,ไลน์กลุ่ม แผนกลาง,น้ำพั้นซ์ 0924988979,"Doorman
หอประชุมตึก 3 ประตูฝั่งป้ายคณะ - กัน 0974514159
หอประชุมตึก 3 ประตูฝั่งตึก 2 - เติ้ล 0897991699
หอประชุมตึก 3 ชั้น 2 - เอ็กซ์แอล 0934239213",-doorman แจ้งในกลุ่มแผนกลาง “หอประชุมตึก 3 พร้อม”
91,09:15,09:20,5,PLAN,ไลน์น้องสายหอประชุมตึก 3 เข้าที่นั่ง รอบ 2,หอประชุมตึก 3,ออง 0968388878,"พี่สาย
หอประชุมตึก 3 ฝั่งป้ายคณะ - ลูกพลับ 0948198008
หอประชุมตึก 3 ฝั่งตึก 2 - โอ๊ค 0902156600
หอประชุมตึก 3 ชั้น 2 - เฟิร์ส 0856638891","-พี่สายไลน์แถวน้องสายเข้าไปส่งในแต่ละบ้านตามเส้นทางที่กำหนด
-เมื่อส่งน้องเสร็จเรียบร้อยแล้วให้ออกจากหอประชุม"
92,09:15,10:10,55,PLAN,เข้าห้องน้ำในหอประชุม,"หอประชุมตึก 3 ประตูฝั่งป้ายคณะ
หอประชุมตึก 3 ประตูฝั่งตึก 2
หอประชุมตึก 3 ชั้น 2 ",น้ำพั้นซ์ 0924988979,"Doorman
หอประชุมตึก 3 ประตูฝั่งป้ายคณะ - กัน 0974514159
หอประชุมตึก 3 ประตูฝั่งตึก 2 - เติ้ล 0897991699
หอประชุมตึก 3 ชั้น 2 - เอ็กซ์แอล 0934239213","-เมื่อน้องเดินมาหาพี่ doorman และแจ้งว่าต้องการที่จะเข้าห้องน้ำ ให้ doorman เปิดประตูเเล้วบอกเส้นทางห้องน้ำตามหอประชุมที่กำหนด
-หากน้องไม่สามารถเดินไปเข้าห้องน้ำเองได้ให้ พี่กัน เป็นคนพาน้องไปเข้าห้องน้ำ
-หากน้องขอเข้าห้องน้ำในช่วงเวลาที่ไม่สามารถเปิดประตูได้ ให้ doorman เป็นคนพิจารณาว่าควรหรือไม่

"
93,09:15,10:10,55,PLAN,เข้าห้องน้ำในหอประชุม,หอประชุมตึก 4,คนิ้ง 0858101505,"Doorman
หอประชุมตึก 4 - บูม 0982898377","-เมื่อน้องเดินมาหาพี่ doorman และแจ้งว่าต้องการที่จะเข้าห้องน้ำ ให้ doorman เปิดประตูเเล้วบอกเส้นทางห้องน้ำตามหอประชุมที่กำหนด
-หากน้องไม่สามารถเดินไปเข้าห้องน้ำเองได้ให้ พี่กัน เป็นคนพาน้องไปเข้าห้องน้ำ
-หากน้องขอเข้าห้องน้ำในช่วงเวลาที่ไม่สามารถเปิดประตูได้ ให้ doorman เป็นคนพิจารณาว่าควรหรือไม่

"
94,09:17,09:17,-,PLAN,stand by น้องสายหอประชุมตึก 4 รอบ 2,หอประชุมตึก 4 ประตูหอประชุมตึก 4,ออง 0968388878,"พี่สาย
หอประชุมตึก 4 - ไจ๋ 0958044441",-เมื่อพี่สาย standby ที่หน้าประตูหอประชุมของตนเองแล้ว ให้พี่สายไลน์แจ้งในกลุ่ม แผนกลาง ว่า “ น้องสายxx พร้อม ”
95,09:17,09:17,-,PLAN,แจ้งความพร้อมหอประชุมตึก 4 รอบ 2,ไลน์กลุ่ม แผนกลาง,คนิ้ง 0858101505,"Doorman
หอประชุมตึก 4 - บูม 0982898377",-doorman แจ้งในกลุ่มแผนกลาง “หอประชุมตึก 4 พร้อม”
96,09:17,09:20,3,PLAN,ไลน์น้องสายหอประชุมตึก 4 เข้าที่นั่ง รอบ 2,หอประชุมตึก 4 ,ออง 0968388878,"พี่สาย
หอประชุมตึก 4 - ไจ๋ 0958044441","-เมื่อ doorman แจ้งว่าพร้อม ให้พี่สายไลน์แถวน้องสายเข้าไปส่งในแต่ละบ้านตามเส้นทางที่กำหนด 
-เมื่อส่งน้องเสร็จเรียบร้อยแล้วให้ออกจากหอประชุม
"
97,09:20,09:40,20,PLAN,รับน้องสายหอประชุมตึก 4 ที่โต๊ะทะเบียนกลาง รอบ 3,โต๊ะทะเบียนกลาง (หน้าห้อง 116/3 ตึก3),ออง 0968388878,"พี่สาย
หอประชุมตึก 4 - ไจ๋ 0958044441",-พี่สายรับน้องที่โต๊ะทะเบียนกลางแล้วจัดน้องเป็นแถวเดี่ยว 1 แถว
98,09:20,09:43,23,PLAN,รับน้องสายหอประชุมตึก 3 ที่โต๊ะทะเบียนกลาง รอบ 3,โต๊ะทะเบียนกลาง (หน้าห้อง 116/3 ตึก3),ออง 0968388878,"พี่สาย
หอประชุมตึก 3 ฝั่งป้ายคณะ - ลูกพลับ 0948198008
หอประชุมตึก 3 ฝั่งตึก 2 - โอ๊ค 0902156600
หอประชุมตึก 3 ชั้น 2 - เฟิร์ส 0856638891","-พี่สายรับน้องที่โต๊ะทะเบียนกลางแล้วแยกน้องออกเป็น 3 กลุ่ม
กลุ่ม 1: หอประชุมตึก 3 ฝั่งป้ายคณะ
กลุ่ม 2: หอประชุมตึก 3 ฝั่งตึก 2
กลุ่ม 3: หอประชุมตึก 3 ชั้น 2"
